dimensions,width,height
"(183, 275)",183,275
"(168, 300)",168,300
"(255, 197)",255,197
"(256, 197)",256,197
"(1300, 1076)",1300,1076
"(239, 211)",239,211
"(1000, 880)",1000,880
"(900, 900)",900,900
"(275, 183)",275,183
"(541, 360)",541,360
"(800, 1120)",800,1120
"(246, 205)",246,205
"(1707, 2560)",1707,2560
"(209, 242)",209,242
"(239, 211)",239,211
"(450, 450)",450,450
"(275, 183)",275,183
"(800, 533)",800,533
"(275, 183)",275,183
"(225, 225)",225,225
"(286, 176)",286,176
"(225, 225)",225,225
"(720, 788)",720,788
"(1200, 1200)",1200,1200
"(276, 183)",276,183
"(183, 275)",183,275
"(1000, 1498)",1000,1498
"(275, 183)",275,183
"(300, 168)",300,168
"(275, 183)",275,183
"(360, 254)",360,254
"(1600, 1280)",1600,1280
"(275, 183)",275,183
"(1300, 957)",1300,957
"(259, 194)",259,194
"(259, 194)",259,194
"(260, 194)",260,194
"(528, 528)",528,528
"(275, 183)",275,183
"(1600, 714)",1600,714
"(259, 194)",259,194
"(720, 515)",720,515
"(190, 266)",190,266
"(183, 275)",183,275
"(999, 1080)",999,1080
"(225, 225)",225,225
"(1024, 1024)",1024,1024
"(4256, 2568)",4256,2568
"(275, 183)",275,183
"(275, 183)",275,183
"(275, 183)",275,183
"(500, 500)",500,500
"(183, 275)",183,275
"(194, 259)",194,259
"(612, 406)",612,406
"(214, 235)",214,235
"(1050, 695)",1050,695
"(276, 183)",276,183
"(225, 225)",225,225
"(225, 225)",225,225
"(275, 183)",275,183
"(168, 300)",168,300
"(1080, 1920)",1080,1920
"(400, 600)",400,600
"(265, 190)",265,190
"(279, 180)",279,180
"(400, 126)",400,126
"(194, 259)",194,259
"(201, 251)",201,251
"(500, 305)",500,305
"(800, 533)",800,533
"(259, 194)",259,194
"(275, 184)",275,184
"(275, 183)",275,183
"(800, 530)",800,530
"(202, 249)",202,249
"(225, 225)",225,225
"(258, 280)",258,280
"(183, 275)",183,275
"(202, 249)",202,249
"(3616, 2411)",3616,2411
"(269, 188)",269,188
"(275, 183)",275,183
"(600, 350)",600,350
"(266, 190)",266,190
